dbName	refName	Shape-it::Tanimoto	Shape-it::Tversky_Ref	Shape-it::Tversky_Db	overlap	refVolume	dbVolume
3JW	3JW	0.92	0.958	0.958	199.87	208.7	208.55
3JW	3JW	0.91	0.953	0.954	198.82	208.7	208.49
3JW	3JW	0.767	0.865	0.871	180.56	208.7	207.27
3JW	3JW	0.658	0.797	0.79	166.47	208.7	210.73
3JW	3JW	0.542	0.706	0.7	147.46	208.7	210.73
3JW	3JW	0.788	0.883	0.88	184.23	208.7	209.27
3JW	3JW	0.801	0.889	0.89	185.56	208.7	208.42
3JW	3JW	0.723	0.84	0.838	175.36	208.7	209.3
3JW	3JW	0.754	0.865	0.855	180.63	208.7	211.45
3JW	3JW	0.853	0.92	0.921	191.97	208.7	208.43
3JW	3JW	0.868	0.929	0.93	193.87	208.7	208.48
3JW	3JW	0.616	0.766	0.759	159.97	208.7	210.77
3JW	3JW	0.759	0.867	0.86	181	208.7	210.67
3JW	3JW	0.904	0.949	0.949	198.1	208.7	208.65
3JW	3JW	0.682	0.815	0.808	170.16	208.7	210.78
3JW	3JW	0.795	0.89	0.882	185.78	208.7	210.8
3JW	3JW	0.661	0.795	0.796	165.95	208.7	208.47
3JW	3JW	0.785	0.881	0.879	183.86	208.7	209.25
3JW	3JW	0.771	0.872	0.869	181.93	208.7	209.27
3JW	3JW	0.901	0.947	0.949	197.65	208.7	208.33
3JW	3JW	0.71	0.835	0.827	174.32	208.7	210.99
3JW	3JW	0.875	0.937	0.93	195.71	208.7	210.57
3JW	3JW	0.707	0.834	0.823	174.11	208.7	211.62
3JW	3JW	0.848	0.919	0.916	191.74	208.7	209.23
3JW	3JW	0.915	0.956	0.955	199.61	208.7	209.02
3JW	3JW	0.578	0.734	0.731	153.26	208.7	209.64
3JW	3JW	0.632	0.776	0.774	161.9	208.7	209.34
3JW	3JW	0.692	0.82	0.815	171.28	208.7	210.11
3JW	3JW	0.741	0.854	0.849	178.29	208.7	210.11
3JW	3JW	0.655	0.793	0.79	165.44	208.7	209.47
3JW	3JW	0.709	0.835	0.824	174.37	208.7	211.71
3JW	3JW	0.788	0.878	0.885	183.1	208.7	206.7
3JW	3JW	0.728	0.839	0.846	175.05	208.7	206.75
3JW	3JW	0.863	0.932	0.92	194.66	208.7	211.62
3JW	3JW	0.992	0.992	1	206.94	208.7	206.94
3JW	3JW	0.584	0.742	0.732	154.99	208.7	211.84
3JW	3JW	0.964	0.983	0.981	205.17	208.7	209.25
3JW	3JW	0.748	0.858	0.853	179.23	208.7	210.2
3JW	3JW	0.707	0.833	0.823	173.91	208.7	211.32
3JW	3JW	0.595	0.751	0.741	156.94	208.7	211.92
3JW	3JW	0.755	0.866	0.855	180.86	208.7	211.6
3JW	3JW	0.673	0.805	0.804	168.06	208.7	209.07
3JW	3JW	0.749	0.859	0.854	179.26	208.7	209.99
3JW	3JW	0.666	0.801	0.799	167.11	208.7	209.18
3JW	3JW	0.781	0.875	0.879	182.6	208.7	207.72
3JW	3JW	0.677	0.803	0.811	167.5	208.7	206.37
3JW	3JW	0.895	0.95	0.94	198.3	208.7	211.12
3JW	3JW	0.706	0.832	0.823	173.68	208.7	211.11
3JW	3JW	0.767	0.87	0.866	181.58	208.7	209.73
3JW	3JW	0.967	0.985	0.981	205.66	208.7	209.73
